mcdi,base,alt,grammar,download_date,mcdi_id,category,avg_production,incl_reason,excl_reason
arm,arm,arm's,possessive,9/13/24,185,body_parts,0.67,,
arm,arm,arms,"dumb_plural, plural_noun",9/13/24,185,body_parts,0.67,,
arm,arm,arms',"dumb_plural_possessive, plural_possessive",9/13/24,185,body_parts,0.67,,
aunt,aunt,aunt,singular_noun,9/13/24,347,people,0.42,,
aunt,aunt,aunt's,possessive,9/13/24,347,people,0.42,,
aunt,aunt,aunts,"dumb_plural, plural_noun",9/13/24,347,people,0.42,,
aunt,aunt,aunts',"dumb_plural_possessive, plural_possessive",9/13/24,347,people,0.42,,
baby,baby,babies,plural_noun,9/13/24,348,people,0.87,,
baby,baby,babies',plural_possessive,9/13/24,348,people,0.87,,
baby,baby,baby,singular_noun,9/13/24,348,people,0.87,,
baby,baby,baby's,possessive,9/13/24,348,people,0.87,,
baby,baby,babys,dumb_plural,9/13/24,348,people,0.87,,
baby,baby,babys',dumb_plural_possessive,9/13/24,348,people,0.87,,
babysitter,babysitter,baby sitter,"singular_noun, syntax-corrected",9/13/24,349,people,0.11,,
babysitter,babysitter,baby sitter's,possessive,9/13/24,349,people,0.11,,
babysitter,babysitter,baby sitters,"dumb_plural, plural_noun",9/13/24,349,people,0.11,,
babysitter,babysitter,baby sitters',"dumb_plural_possessive, plural_possessive",9/13/24,349,people,0.11,,
babysitter,babysitter,baby+sitter,"singular_noun, syntax-corrected",9/13/24,349,people,0.11,,
babysitter,babysitter,baby+sitter's,possessive,9/13/24,349,people,0.11,,
babysitter,babysitter,baby+sitters,"dumb_plural, plural_noun",9/13/24,349,people,0.11,,
babysitter,babysitter,baby+sitters',"dumb_plural_possessive, plural_possessive",9/13/24,349,people,0.11,,
babysitter,babysitter,babysitter,singular_noun,9/13/24,349,people,0.11,,
babysitter,babysitter,babysitter's,possessive,9/13/24,349,people,0.11,,
babysitter,babysitter,babysitters,"dumb_plural, plural_noun",9/13/24,349,people,0.11,,
babysitter,babysitter,babysitters',"dumb_plural_possessive, plural_possessive",9/13/24,349,people,0.11,,
babysitter's name,babysitter's name,babysitter's name,singular_noun,9/13/24,350,people,0.38,,
babysitter's name,babysitter's name,babysitter's name's,possessive,9/13/24,350,people,0.38,,
babysitter's name,babysitter's name,babysitter's names,"dumb_plural, plural_noun",9/13/24,350,people,0.38,,
babysitter's name,babysitter's name,babysitter's names',"dumb_plural_possessive, plural_possessive",9/13/24,350,people,0.38,,
babysitter's name,babysitter's name,babysitter's+name,singular_noun,9/13/24,350,people,0.38,,
babysitter's name,babysitter's name,babysitter's+name's,possessive,9/13/24,350,people,0.38,,
babysitter's name,babysitter's name,babysitter's+names,"dumb_plural, plural_noun",9/13/24,350,people,0.38,,
babysitter's name,babysitter's name,babysitter's+names',"dumb_plural_possessive, plural_possessive",9/13/24,350,people,0.38,,
backyard,backyard,back yard,"singular_noun, syntax-corrected",9/13/24,294,outside,0.28,,
backyard,backyard,back yard's,possessive,9/13/24,294,outside,0.28,,
backyard,backyard,back yards,"dumb_plural, plural_noun",9/13/24,294,outside,0.28,,
backyard,backyard,back yards',"dumb_plural_possessive, plural_possessive",9/13/24,294,outside,0.28,,
backyard,backyard,back+yard,"singular_noun, syntax-corrected",9/13/24,294,outside,0.28,,
backyard,backyard,back+yard's,possessive,9/13/24,294,outside,0.28,,
backyard,backyard,back+yards,"dumb_plural, plural_noun",9/13/24,294,outside,0.28,,
backyard,backyard,back+yards',"dumb_plural_possessive, plural_possessive",9/13/24,294,outside,0.28,,
backyard,backyard,backyard,singular_noun,9/13/24,294,outside,0.28,,
backyard,backyard,backyard's,possessive,9/13/24,294,outside,0.28,,
backyard,backyard,backyards,"dumb_plural, plural_noun",9/13/24,294,outside,0.28,,
backyard,backyard,backyards',"dumb_plural_possessive, plural_possessive",9/13/24,294,outside,0.28,,
ball,ball,ball,singular_noun,9/13/24,70,toys,0.95,,
ball,ball,ball's,possessive,9/13/24,70,toys,0.95,,
ball,ball,balls,"dumb_plural, plural_noun",9/13/24,70,toys,0.95,,
ball,ball,balls',"dumb_plural_possessive, plural_possessive",9/13/24,70,toys,0.95,,
balloon,balloon,balloon,singular_noun,9/13/24,71,toys,0.81,,
balloon,balloon,balloon's,possessive,9/13/24,71,toys,0.81,,
balloon,balloon,balloons,"dumb_plural, plural_noun",9/13/24,71,toys,0.81,,
balloon,balloon,balloons',"dumb_plural_possessive, plural_possessive",9/13/24,71,toys,0.81,,
banana,banana,banana,singular_noun,9/13/24,90,food_drink,0.88,,
banana,banana,banana's,possessive,9/13/24,90,food_drink,0.88,,
banana,banana,bananas,"dumb_plural, plural_noun",9/13/24,90,food_drink,0.88,,
banana,banana,bananas',"dumb_plural_possessive, plural_possessive",9/13/24,90,food_drink,0.88,,
basement,basement,basement,singular_noun,9/13/24,261,furniture_rooms,0.14,,
basement,basement,basement's,possessive,9/13/24,261,furniture_rooms,0.14,,
basement,basement,basements,"dumb_plural, plural_noun",9/13/24,261,furniture_rooms,0.14,,
basement,basement,basements',"dumb_plural_possessive, plural_possessive",9/13/24,261,furniture_rooms,0.14,,
basket,basket,basket,singular_noun,9/13/24,211,household,0.38,,
basket,basket,basket's,possessive,9/13/24,211,household,0.38,,
basket,basket,baskets,"dumb_plural, plural_noun",9/13/24,211,household,0.38,,
basket,basket,baskets',"dumb_plural_possessive, plural_possessive",9/13/24,211,household,0.38,,
bat,bat,bat,singular_noun,9/13/24,72,toys,0.34,,
bat,bat,bat's,possessive,9/13/24,72,toys,0.34,,
bat,bat,bats,"dumb_plural, plural_noun",9/13/24,72,toys,0.34,,
bat,bat,bats',"dumb_plural_possessive, plural_possessive",9/13/24,72,toys,0.34,,
bathroom,bathroom,bath room,"singular_noun, syntax-corrected",9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bath room's,possessive,9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bath rooms,"dumb_plural, plural_noun",9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bath rooms',"dumb_plural_possessive, plural_possessive",9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bath+room,"singular_noun, syntax-corrected",9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bath+room's,possessive,9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bath+rooms,"dumb_plural, plural_noun",9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bath+rooms',"dumb_plural_possessive, plural_possessive",9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bathroom,singular_noun,9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bathroom's,possessive,9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bathrooms,"dumb_plural, plural_noun",9/13/24,262,furniture_rooms,0.54,,
bathroom,bathroom,bathrooms',"dumb_plural_possessive, plural_possessive",9/13/24,262,furniture_rooms,0.54,,
bathtub,bathtub,bath tub,"singular_noun, syntax-corrected",9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bath tub's,possessive,9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bath tubs,"dumb_plural, plural_noun",9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bath tubs',"dumb_plural_possessive, plural_possessive",9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bath+tub,"singular_noun, syntax-corrected",9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bath+tub's,possessive,9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bath+tubs,"dumb_plural, plural_noun",9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bath+tubs',"dumb_plural_possessive, plural_possessive",9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bathtub,singular_noun,9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bathtub's,possessive,9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bathtubs,"dumb_plural, plural_noun",9/13/24,263,furniture_rooms,0.59,,
bathtub,bathtub,bathtubs',"dumb_plural_possessive, plural_possessive",9/13/24,263,furniture_rooms,0.59,,
beach,beach,beach,singular_noun,9/13/24,325,places,0.32,,
beach,beach,beach's,possessive,9/13/24,325,places,0.32,,
beach,beach,beaches,plural_noun,9/13/24,325,places,0.32,,
beach,beach,beaches',plural_possessive,9/13/24,325,places,0.32,,
beach,beach,beachs,dumb_plural,9/13/24,325,places,0.32,,
beach,beach,beachs',dumb_plural_possessive,9/13/24,325,places,0.32,,
beads,beads,bead,singular_noun,9/13/24,156,clothing,0.2,,
beads,beads,bead's,possessive,9/13/24,156,clothing,0.2,,
beads,beads,beads,"dumb_plural, plural_noun",9/13/24,156,clothing,0.2,,
beads,beads,beads',dumb_plural_possessive,9/13/24,156,clothing,0.2,,
beads,beads,beadss,plural_noun,9/13/24,156,clothing,0.2,,
beads,beads,beadss',plural_possessive,9/13/24,156,clothing,0.2,,
beans,beans,bean,singular_noun,9/13/24,91,food_drink,0.44,,
beans,beans,bean's,possessive,9/13/24,91,food_drink,0.44,,
beans,beans,beans,"dumb_plural, plural_noun",9/13/24,91,food_drink,0.44,,
beans,beans,beans',dumb_plural_possessive,9/13/24,91,food_drink,0.44,,
beans,beans,beanss,plural_noun,9/13/24,91,food_drink,0.44,,
beans,beans,beanss',plural_possessive,9/13/24,91,food_drink,0.44,,
bear,bear,bear,singular_noun,9/13/24,16,animals,0.73,,
bear,bear,bear's,possessive,9/13/24,16,animals,0.73,,
bear,bear,bears,"dumb_plural, plural_noun",9/13/24,16,animals,0.73,,
bear,bear,bears',"dumb_plural_possessive, plural_possessive",9/13/24,16,animals,0.73,,
bed,bed,bed,singular_noun,9/13/24,264,furniture_rooms,0.73,,
bed,bed,bed's,possessive,9/13/24,264,furniture_rooms,0.73,,
bed,bed,beds,"dumb_plural, plural_noun",9/13/24,264,furniture_rooms,0.73,,
bed,bed,beds',"dumb_plural_possessive, plural_possessive",9/13/24,264,furniture_rooms,0.73,,
bedroom,bedroom,bed room,"diminutive, singular_noun",9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bed room's,possessive,9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bed rooms,"dumb_plural, plural_noun",9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bed rooms',"dumb_plural_possessive, plural_possessive",9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bed+room,"diminutive, singular_noun",9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bed+room's,possessive,9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bed+rooms,"dumb_plural, plural_noun",9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bed+rooms',"dumb_plural_possessive, plural_possessive",9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bedroom,singular_noun,9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bedroom's,possessive,9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bedrooms,"dumb_plural, plural_noun",9/13/24,265,furniture_rooms,0.42,,
bedroom,bedroom,bedrooms',"dumb_plural_possessive, plural_possessive",9/13/24,265,furniture_rooms,0.42,,
bee,bee,bee,singular_noun,9/13/24,17,animals,0.66,,
bee,bee,bee's,possessive,9/13/24,17,animals,0.66,,
bee,bee,bees,"dumb_plural, plural_noun",9/13/24,17,animals,0.66,,
bee,bee,bees',"dumb_plural_possessive, plural_possessive",9/13/24,17,animals,0.66,,
belly button,belly button,belly button,singular_noun,9/13/24,186,body_parts,0.69,,
belly button,belly button,belly button's,possessive,9/13/24,186,body_parts,0.69,,
belly button,belly button,belly buttons,"dumb_plural, plural_noun",9/13/24,186,body_parts,0.69,,
belly button,belly button,belly buttons',"dumb_plural_possessive, plural_possessive",9/13/24,186,body_parts,0.69,,
belly button,belly button,belly+button,singular_noun,9/13/24,186,body_parts,0.69,,
belly button,belly button,belly+button's,possessive,9/13/24,186,body_parts,0.69,,
belly button,belly button,belly+buttons,"dumb_plural, plural_noun",9/13/24,186,body_parts,0.69,,
belly button,belly button,belly+buttons',"dumb_plural_possessive, plural_possessive",9/13/24,186,body_parts,0.69,,
belt,belt,belt,singular_noun,9/13/24,157,clothing,0.27,,
belt,belt,belt's,possessive,9/13/24,157,clothing,0.27,,
belt,belt,belts,"dumb_plural, plural_noun",9/13/24,157,clothing,0.27,,
belt,belt,belts',"dumb_plural_possessive, plural_possessive",9/13/24,157,clothing,0.27,,
bench,bench,bench,singular_noun,9/13/24,266,furniture_rooms,0.14,,
bench,bench,bench's,possessive,9/13/24,266,furniture_rooms,0.14,,
bench,bench,benches,plural_noun,9/13/24,266,furniture_rooms,0.14,,
bench,bench,benches',plural_possessive,9/13/24,266,furniture_rooms,0.14,,
bench,bench,benchs,dumb_plural,9/13/24,266,furniture_rooms,0.14,,
bench,bench,benchs',dumb_plural_possessive,9/13/24,266,furniture_rooms,0.14,,
bib,bib,bib,singular_noun,9/13/24,158,clothing,0.49,,
bib,bib,bib's,possessive,9/13/24,158,clothing,0.49,,
bib,bib,bibs,"dumb_plural, plural_noun",9/13/24,158,clothing,0.49,,
bib,bib,bibs',"dumb_plural_possessive, plural_possessive",9/13/24,158,clothing,0.49,,
bicycle,bicycle,bicycle,singular_noun,9/13/24,57,vehicles,0.63,,
bicycle,bicycle,bicycle's,possessive,9/13/24,57,vehicles,0.63,,
bicycle,bicycle,bicycles,"dumb_plural, plural_noun",9/13/24,57,vehicles,0.63,,
bicycle,bicycle,bicycles',"dumb_plural_possessive, plural_possessive",9/13/24,57,vehicles,0.63,,
bird,bird,bird,singular_noun,9/13/24,18,animals,0.79,,
bird,bird,bird's,possessive,9/13/24,18,animals,0.79,,
bird,bird,birdie,"diminutive, singular_noun",9/13/24,18,animals,0.79,,
bird,bird,birdie's,possessive,9/13/24,18,animals,0.79,,
bird,bird,birdies,"dumb_plural, plural_noun",9/13/24,18,animals,0.79,,
bird,bird,birdies',"dumb_plural_possessive, plural_possessive",9/13/24,18,animals,0.79,,
bird,bird,birds,"dumb_plural, plural_noun",9/13/24,18,animals,0.79,,
bird,bird,birds',"dumb_plural_possessive, plural_possessive",9/13/24,18,animals,0.79,,
bird,bird,birdy,"diminutive, singular_noun",9/13/24,18,animals,0.79,,
bird,bird,birdy's,possessive,9/13/24,18,animals,0.79,,
bird,bird,birdys,dumb_plural,9/13/24,18,animals,0.79,,
bird,bird,birdys',dumb_plural_possessive,9/13/24,18,animals,0.79,,
blanket,blanket,blanket,singular_noun,9/13/24,212,household,0.71,,
blanket,blanket,blanket's,possessive,9/13/24,212,household,0.71,,
blanket,blanket,blankets,"dumb_plural, plural_noun",9/13/24,212,household,0.71,,
blanket,blanket,blankets',"dumb_plural_possessive, plural_possessive",9/13/24,212,household,0.71,,
block,block,block,singular_noun,9/13/24,73,toys,0.59,,
block,block,block's,possessive,9/13/24,73,toys,0.59,,
block,block,blocks,"dumb_plural, plural_noun",9/13/24,73,toys,0.59,,
block,block,blocks',"dumb_plural_possessive, plural_possessive",9/13/24,73,toys,0.59,,
boat,boat,boat,singular_noun,9/13/24,58,vehicles,0.68,,
boat,boat,boat's,possessive,9/13/24,58,vehicles,0.68,,
boat,boat,boats,"dumb_plural, plural_noun",9/13/24,58,vehicles,0.68,,
boat,boat,boats',"dumb_plural_possessive, plural_possessive",9/13/24,58,vehicles,0.68,,
owie/boo boo,boo boo,boo boo,singular_noun,9/13/24,203,body_parts,0.72,,
owie/boo boo,boo boo,boo boo's,possessive,9/13/24,203,body_parts,0.72,,
owie/boo boo,boo boo,boo boos,"dumb_plural, plural_noun",9/13/24,203,body_parts,0.72,,
owie/boo boo,boo boo,boo boos',"dumb_plural_possessive, plural_possessive",9/13/24,203,body_parts,0.72,,
owie/boo boo,boo boo,boo+boo,singular_noun,9/13/24,203,body_parts,0.72,,
owie/boo boo,boo boo,boo+boo's,possessive,9/13/24,203,body_parts,0.72,,
owie/boo boo,boo boo,boo+boos,"dumb_plural, plural_noun",9/13/24,203,body_parts,0.72,,
owie/boo boo,boo boo,boo+boos',"dumb_plural_possessive, plural_possessive",9/13/24,203,body_parts,0.72,,
book,book,book,singular_noun,9/13/24,74,toys,0.87,,
book,book,book's,possessive,9/13/24,74,toys,0.87,,
book,book,books,"dumb_plural, plural_noun",9/13/24,74,toys,0.87,,
book,book,books',"dumb_plural_possessive, plural_possessive",9/13/24,74,toys,0.87,,
boots,boots,boot,singular_noun,9/13/24,159,clothing,0.66,,
boots,boots,boot's,possessive,9/13/24,159,clothing,0.66,,
boots,boots,boots,"dumb_plural, plural_noun",9/13/24,159,clothing,0.66,,
boots,boots,boots',dumb_plural_possessive,9/13/24,159,clothing,0.66,,
boots,boots,bootss,plural_noun,9/13/24,159,clothing,0.66,,
boots,boots,bootss',plural_possessive,9/13/24,159,clothing,0.66,,
bottle,bottle,bottle,singular_noun,9/13/24,213,household,0.65,,
bottle,bottle,bottle's,possessive,9/13/24,213,household,0.65,,
bottle,bottle,bottles,"dumb_plural, plural_noun",9/13/24,213,household,0.65,,
bottle,bottle,bottles',"dumb_plural_possessive, plural_possessive",9/13/24,213,household,0.65,,
buttocks/bottom*,bottom,bottom,"plural_noun, singular_noun",9/13/24,187,body_parts,0.63,,
buttocks/bottom*,bottom,bottom's,possessive,9/13/24,187,body_parts,0.63,,
buttocks/bottom*,bottom,bottoms,"dumb_plural, plural_noun",9/13/24,187,body_parts,0.63,,
buttocks/bottom*,bottom,bottoms',"dumb_plural_possessive, plural_possessive",9/13/24,187,body_parts,0.63,,
bowl,bowl,bowl,singular_noun,9/13/24,214,household,0.62,,
bowl,bowl,bowl's,possessive,9/13/24,214,household,0.62,,
bowl,bowl,bowls,"dumb_plural, plural_noun",9/13/24,214,household,0.62,,
bowl,bowl,bowls',"dumb_plural_possessive, plural_possessive",9/13/24,214,household,0.62,,
box,box,box,singular_noun,9/13/24,215,household,0.59,,
box,box,box's,possessive,9/13/24,215,household,0.59,,
box,box,boxes,plural_noun,9/13/24,215,household,0.59,,
box,box,boxes',plural_possessive,9/13/24,215,household,0.59,,
box,box,boxs,dumb_plural,9/13/24,215,household,0.59,,
box,box,boxs',dumb_plural_possessive,9/13/24,215,household,0.59,,
boy,boy,boy,singular_noun,9/13/24,351,people,0.49,,
boy,boy,boy's,possessive,9/13/24,351,people,0.49,,
boy,boy,boys,"dumb_plural, plural_noun",9/13/24,351,people,0.49,,
boy,boy,boys',"dumb_plural_possessive, plural_possessive",9/13/24,351,people,0.49,,
bread,bread,bread,singular_noun,9/13/24,92,food_drink,0.63,,
bread,bread,bread's,possessive,9/13/24,92,food_drink,0.63,,
bread,bread,breads,"dumb_plural, plural_noun",9/13/24,92,food_drink,0.63,,
bread,bread,breads',"dumb_plural_possessive, plural_possessive",9/13/24,92,food_drink,0.63,,
broom,broom,broom,singular_noun,9/13/24,216,household,0.47,,
broom,broom,broom's,possessive,9/13/24,216,household,0.47,,
broom,broom,brooms,"dumb_plural, plural_noun",9/13/24,216,household,0.47,,
broom,broom,brooms',"dumb_plural_possessive, plural_possessive",9/13/24,216,household,0.47,,
brother,brother,brother,singular_noun,9/13/24,352,people,0.31,,
brother,brother,brother's,possessive,9/13/24,352,people,0.31,,
brother,brother,brothers,"dumb_plural, plural_noun",9/13/24,352,people,0.31,,
brother,brother,brothers',"dumb_plural_possessive, plural_possessive",9/13/24,352,people,0.31,,
brush,brush,brush,singular_noun,9/13/24,217,household,0.6,,
brush,brush,brush's,possessive,9/13/24,217,household,0.6,,
brush,brush,brushes,plural_noun,9/13/24,217,household,0.6,,
brush,brush,brushes',plural_possessive,9/13/24,217,household,0.6,,
brush,brush,brushs,dumb_plural,9/13/24,217,household,0.6,,
brush,brush,brushs',dumb_plural_possessive,9/13/24,217,household,0.6,,
bubbles,bubbles,bubble,singular_noun,9/13/24,75,toys,0.82,,
bubbles,bubbles,bubble's,possessive,9/13/24,75,toys,0.82,,
bubbles,bubbles,bubbles,"dumb_plural, plural_noun",9/13/24,75,toys,0.82,,
bubbles,bubbles,bubbles',dumb_plural_possessive,9/13/24,75,toys,0.82,,
bubbles,bubbles,bubbless,plural_noun,9/13/24,75,toys,0.82,,
bubbles,bubbles,bubbless',plural_possessive,9/13/24,75,toys,0.82,,
bucket,bucket,bucket,singular_noun,9/13/24,218,household,0.37,,
bucket,bucket,bucket's,possessive,9/13/24,218,household,0.37,,
bucket,bucket,buckets,"dumb_plural, plural_noun",9/13/24,218,household,0.37,,
bucket,bucket,buckets',"dumb_plural_possessive, plural_possessive",9/13/24,218,household,0.37,,
bug,bug,bug,singular_noun,9/13/24,19,animals,0.61,,
bug,bug,bug's,possessive,9/13/24,19,animals,0.61,,
bug,bug,bugs,"dumb_plural, plural_noun",9/13/24,19,animals,0.61,,
bug,bug,bugs',"dumb_plural_possessive, plural_possessive",9/13/24,19,animals,0.61,,
bum,bum,bum,singular_noun,9/13/24,200,body_parts,0.39,,
bum,bum,bum's,possessive,9/13/24,200,body_parts,0.39,,
bum,bum,bums,"dumb_plural, plural_noun",9/13/24,200,body_parts,0.39,,
bum,bum,bums',"dumb_plural_possessive, plural_possessive",9/13/24,200,body_parts,0.39,,
bunny,bunny,bunnies,plural_noun,9/13/24,20,animals,0.69,,
bunny,bunny,bunnies',plural_possessive,9/13/24,20,animals,0.69,,
bunny,bunny,bunny,singular_noun,9/13/24,20,animals,0.69,,
bunny,bunny,bunny's,possessive,9/13/24,20,animals,0.69,,
bunny,bunny,bunnys,dumb_plural,9/13/24,20,animals,0.69,,
bunny,bunny,bunnys',dumb_plural_possessive,9/13/24,20,animals,0.69,,
bus,bus,bu,singular_noun,9/13/24,59,vehicles,0.74,,
bus,bus,bu's,possessive,9/13/24,59,vehicles,0.74,,
bus,bus,bus,"dumb_plural, singular_noun",9/13/24,59,vehicles,0.74,,
bus,bus,bus',dumb_plural_possessive,9/13/24,59,vehicles,0.74,,
bus,bus,buses,plural_noun,9/13/24,59,vehicles,0.74,,
bus,bus,buses',plural_possessive,9/13/24,59,vehicles,0.74,,
butter,butter,butter,"plural_noun, singular_noun",9/13/24,93,food_drink,0.42,,
butter,butter,butter's,possessive,9/13/24,93,food_drink,0.42,,
butter,butter,butters,dumb_plural,9/13/24,93,food_drink,0.42,,
butter,butter,butters',"dumb_plural_possessive, plural_possessive",9/13/24,93,food_drink,0.42,,
butterfly,butterfly,butter flies,plural_noun,9/13/24,21,animals,0.58,,
butterfly,butterfly,butter flies',plural_possessive,9/13/24,21,animals,0.58,,
butterfly,butterfly,butter fly,"diminutive, singular_noun",9/13/24,21,animals,0.58,,
butterfly,butterfly,butter fly's,possessive,9/13/24,21,animals,0.58,,
butterfly,butterfly,butter flys,dumb_plural,9/13/24,21,animals,0.58,,
butterfly,butterfly,butter flys',dumb_plural_possessive,9/13/24,21,animals,0.58,,
butterfly,butterfly,butter+flies,plural_noun,9/13/24,21,animals,0.58,,
butterfly,butterfly,butter+flies',plural_possessive,9/13/24,21,animals,0.58,,
butterfly,butterfly,butter+fly,"diminutive, singular_noun",9/13/24,21,animals,0.58,,
butterfly,butterfly,butter+fly's,possessive,9/13/24,21,animals,0.58,,
butterfly,butterfly,butter+flys,dumb_plural,9/13/24,21,animals,0.58,,
butterfly,butterfly,butter+flys',dumb_plural_possessive,9/13/24,21,animals,0.58,,
butterfly,butterfly,butterflies,plural_noun,9/13/24,21,animals,0.58,,
butterfly,butterfly,butterflies',plural_possessive,9/13/24,21,animals,0.58,,
butterfly,butterfly,butterfly,singular_noun,9/13/24,21,animals,0.58,,
butterfly,butterfly,butterfly's,possessive,9/13/24,21,animals,0.58,,
butterfly,butterfly,butterflys,dumb_plural,9/13/24,21,animals,0.58,,
butterfly,butterfly,butterflys',dumb_plural_possessive,9/13/24,21,animals,0.58,,
buttocks/bottom*,buttocks,buttock,singular_noun,9/13/24,187,body_parts,0.63,,
buttocks/bottom*,buttocks,buttock's,possessive,9/13/24,187,body_parts,0.63,,
buttocks/bottom*,buttocks,buttocks,"dumb_plural, singular_noun",9/13/24,187,body_parts,0.63,,
buttocks/bottom*,buttocks,buttocks',dumb_plural_possessive,9/13/24,187,body_parts,0.63,,
buttocks/bottom*,buttocks,buttockss,plural_noun,9/13/24,187,body_parts,0.63,,
